"","","",""
"Propinsi","Jum2013","Jum2014","Jum2015"
"ACEH","855.71","837.42","859.41"
"SUMATERA UTARA","1390.80","1360.60","1508.14"
"SUMATERA BARAT","380.63","354.74","349.53"
"RIAU","522.53","498.28","562.92"
"JAMBI","281.57","281.75","311.56"
"SUMATERA SELATAN","1108.21","1085.80","1112.53"
"BENGKULU","320.41","316.50","322.83"
"LAMPUNG","1134.28","143.94","1100.68"
"KEP. BANGKA BELITUNG","70.90","67.23","66.62"
"KEP. RIAU","125.02","124.17","114.83"
"DKI JAKARTA","375.70","412.79","368.67"
"JAWA BARAT","4382.65","4238.96","4485.65"
"JAWA TENGAH","4704.87","4561.82","4505.78"
"DI YOGYAKARTA","535.18","532.58","485.56"
"JAWA TIMUR","4865.82","4748.42","4775.97"
"BANTEN","682.71","649.19","690.67"
"BALI","186.53","195.96","218.79"
"NUSA TENGGARA BARAT","802.45","816.62","802.29"
"NUSA TENGGARA TIMUR","1009.15","991.88","1160.53"
"KALIMANTAN BARAT","394.17","381.91","405.51"
"KALIMANTAN TENGAH","145.36","148.82","148.13"
"KALIMANTAN SELATAN","183.27","189.49","189.16"
"KALIMANTAN TIMUR","255.91","252.68","209.99"
"KALIMANTAN UTARA","-","-","40.93"
"SULAWESI UTARA","200.16","197.56","217.15"
"SULAWESI TENGAH","400.09","387.06","406.34"
"SULAWESI SELATAN","857.45","806.35","864.51"
"SULAWESI TENGGARA","326.71","314.09","345.02"
"GORONTALO","200.97","195.10","206.51"
"SULAWESI BARAT","154.20","154.69","153.21"
"MALUKU","322.51","307.02","327.78"
"MALUKU UTARA","85.82","84.79","72.65"
"PAPUA BARAT","1057.98","225.46","225.54"
"PAPUA","234.23","864.11","898.21"
