Kab. Aceh Barat,Tamat PT,9984
Kab. Aceh Barat,Tamat SD,35798
Kab. Aceh Barat,Tamat SLTA,33821
Kab. Aceh Barat,Tamat SLTP,27952
Kab. Aceh Barat,Tidak/Belum Tamat SD,6399
Kab. Aceh Barat Daya,Tamat PT,6653
Kab. Aceh Barat Daya,Tamat SD,29120
Kab. Aceh Barat Daya,Tamat SLTA,17604
Kab. Aceh Barat Daya,Tamat SLTP,19079
Kab. Aceh Barat Daya,Tidak/Belum Tamat SD,8463
Kab. Aceh Besar,Tamat PT,28446
Kab. Aceh Besar,Tamat SD,49817
Kab. Aceh Besar,Tamat SLTA,90811
Kab. Aceh Besar,Tamat SLTP,59567
Kab. Aceh Besar,Tidak/Belum Tamat SD,9457
Kab. Aceh Jaya,Tamat PT,3402
Kab. Aceh Jaya,Tamat SD,19535
Kab. Aceh Jaya,Tamat SLTA,10359
Kab. Aceh Jaya,Tamat SLTP,13438
Kab. Aceh Jaya,Tidak/Belum Tamat SD,3865
Kab. Aceh Selatan,Tamat PT,9880
Kab. Aceh Selatan,Tamat SD,44133
Kab. Aceh Selatan,Tamat SLTA,31288
Kab. Aceh Selatan,Tamat SLTP,31684
Kab. Aceh Selatan,Tidak/Belum Tamat SD,10696
Kab. Aceh Singkil,Tamat PT,4125
Kab. Aceh Singkil,Tamat SD,19744
Kab. Aceh Singkil,Tamat SLTA,12597
Kab. Aceh Singkil,Tamat SLTP,13317
Kab. Aceh Singkil,Tidak/Belum Tamat SD,7658
Kab. Aceh Tamiang,Tamat PT,8867
Kab. Aceh Tamiang,Tamat SD,57890
Kab. Aceh Tamiang,Tamat SLTA,42746
Kab. Aceh Tamiang,Tamat SLTP,39769
Kab. Aceh Tamiang,Tidak/Belum Tamat SD,12669
Kab. Aceh Tengah,Tamat PT,10999
Kab. Aceh Tengah,Tamat SD,29434
Kab. Aceh Tengah,Tamat SLTA,37324
Kab. Aceh Tengah,Tamat SLTP,29733
Kab. Aceh Tengah,Tidak/Belum Tamat SD,6792
Kab. Aceh Tenggara,Tamat PT,7954
Kab. Aceh Tenggara,Tamat SD,26447
Kab. Aceh Tenggara,Tamat SLTA,36290
Kab. Aceh Tenggara,Tamat SLTP,33408
Kab. Aceh Tenggara,Tidak/Belum Tamat SD,5140
Kab. Aceh Timur,Tamat PT,8682
Kab. Aceh Timur,Tamat SD,99061
Kab. Aceh Timur,Tamat SLTA,41588
Kab. Aceh Timur,Tamat SLTP,63259
Kab. Aceh Timur,Tidak/Belum Tamat SD,12989
Kab. Aceh Utara,Tamat PT,17260
Kab. Aceh Utara,Tamat SD,126587
Kab. Aceh Utara,Tamat SLTA,79036
Kab. Aceh Utara,Tamat SLTP,94059
Kab. Aceh Utara,Tidak/Belum Tamat SD,21108
Kab. Agam,Tamat PT,22609
Kab. Agam,Tamat SD,96418
Kab. Agam,Tamat SLTA,76521
Kab. Agam,Tamat SLTP,71403
Kab. Agam,Tidak/Belum Tamat SD,35895
Kab. Alor,Tamat PT,5913
Kab. Alor,Tamat SD,47797
Kab. Alor,Tamat SLTA,19329
Kab. Alor,Tamat SLTP,21466
Kab. Alor,Tidak/Belum Tamat SD,15263
Kab. Asahan,Tamat PT,18607
Kab. Asahan,Tamat SD,157643
Kab. Asahan,Tamat SLTA,116693
Kab. Asahan,Tamat SLTP,114548
Kab. Asahan,Tidak/Belum Tamat SD,29108
Kab. Asmat,Tamat PT,1156
Kab. Asmat,Tamat SD,11529
Kab. Asmat,Tamat SLTA,3390
Kab. Asmat,Tamat SLTP,3925
Kab. Asmat,Tidak/Belum Tamat SD,9699
Kab. Badung,Tamat PT,47451
Kab. Badung,Tamat SD,84459
Kab. Badung,Tamat SLTA,161860
Kab. Badung,Tamat SLTP,69893
Kab. Badung,Tidak/Belum Tamat SD,13167
Kab. Balangan,Tamat PT,3513
Kab. Balangan,Tamat SD,30828
Kab. Balangan,Tamat SLTA,10473
Kab. Balangan,Tamat SLTP,15024
Kab. Balangan,Tidak/Belum Tamat SD,11919
Kab. Bandung,Tamat PT,134266
Kab. Bandung,Tamat SD,844847
Kab. Bandung,Tamat SLTA,532506
Kab. Bandung,Tamat SLTP,556021
Kab. Bandung,Tidak/Belum Tamat SD,89820
Kab. Bandung Barat,Tamat PT,49631
Kab. Bandung Barat,Tamat SD,500453
Kab. Bandung Barat,Tamat SLTA,192280
Kab. Bandung Barat,Tamat SLTP,224412
Kab. Bandung Barat,Tidak/Belum Tamat SD,51504
Kab. Banggai,Tamat PT,11849
Kab. Banggai,Tamat SD,89145
Kab. Banggai,Tamat SLTA,44661
Kab. Banggai,Tamat SLTP,45134
Kab. Banggai,Tidak/Belum Tamat SD,20578
Kab. Banggai Kepulauan,Tamat PT,5349
Kab. Banggai Kepulauan,Tamat SD,55731
Kab. Banggai Kepulauan,Tamat SLTA,16327
Kab. Banggai Kepulauan,Tamat SLTP,20135
Kab. Banggai Kepulauan,Tidak/Belum Tamat SD,7413
Kab. Bangka,Tamat PT,9953
Kab. Bangka,Tamat SD,70754
Kab. Bangka,Tamat SLTA,46996
Kab. Bangka,Tamat SLTP,38744
Kab. Bangka,Tidak/Belum Tamat SD,21918
Kab. Bangka Barat,Tamat PT,4667
Kab. Bangka Barat,Tamat SD,48106
Kab. Bangka Barat,Tamat SLTA,21159
Kab. Bangka Barat,Tamat SLTP,20574
Kab. Bangka Barat,Tidak/Belum Tamat SD,13574
Kab. Bangka Selatan,Tamat PT,3377
Kab. Bangka Selatan,Tamat SD,48186
Kab. Bangka Selatan,Tamat SLTA,12744
Kab. Bangka Selatan,Tamat SLTP,15865
Kab. Bangka Selatan,Tidak/Belum Tamat SD,26564
Kab. Bangka Tengah,Tamat PT,4106
Kab. Bangka Tengah,Tamat SD,45057
Kab. Bangka Tengah,Tamat SLTA,19088
Kab. Bangka Tengah,Tamat SLTP,19110
Kab. Bangka Tengah,Tidak/Belum Tamat SD,18961
Kab. Bangkalan,Tamat PT,17471
Kab. Bangkalan,Tamat SD,272757
Kab. Bangkalan,Tamat SLTA,60687
Kab. Bangkalan,Tamat SLTP,75475
Kab. Bangkalan,Tidak/Belum Tamat SD,46867
Kab. Bangli,Tamat PT,6894
Kab. Bangli,Tamat SD,61399
Kab. Bangli,Tamat SLTA,24696
Kab. Bangli,Tamat SLTP,24156
Kab. Bangli,Tidak/Belum Tamat SD,9807
Kab. Banjar,Tamat PT,15570
Kab. Banjar,Tamat SD,135531
Kab. Banjar,Tamat SLTA,62683
Kab. Banjar,Tamat SLTP,74173
