Kab. Aceh Barat,elementary,35798
Kab. Aceh Barat,high school,33821
Kab. Aceh Barat,junior high school,27952
Kab. Aceh Barat,less than elementary,6399
Kab. Aceh Barat,university,9984
Kab. Aceh Barat Daya,elementary,29120
Kab. Aceh Barat Daya,high school,17604
Kab. Aceh Barat Daya,junior high school,19079
Kab. Aceh Barat Daya,less than elementary,8463
Kab. Aceh Barat Daya,university,6653
Kab. Aceh Besar,elementary,49817
Kab. Aceh Besar,high school,90811
Kab. Aceh Besar,junior high school,59567
Kab. Aceh Besar,less than elementary,9457
Kab. Aceh Besar,university,28446
Kab. Aceh Jaya,elementary,19535
Kab. Aceh Jaya,high school,10359
Kab. Aceh Jaya,junior high school,13438
Kab. Aceh Jaya,less than elementary,3865
Kab. Aceh Jaya,university,3402
Kab. Aceh Selatan,elementary,44133
Kab. Aceh Selatan,high school,31288
Kab. Aceh Selatan,junior high school,31684
Kab. Aceh Selatan,less than elementary,10696
Kab. Aceh Selatan,university,9880
Kab. Aceh Singkil,elementary,19744
Kab. Aceh Singkil,high school,12597
Kab. Aceh Singkil,junior high school,13317
Kab. Aceh Singkil,less than elementary,7658
Kab. Aceh Singkil,university,4125
Kab. Aceh Tamiang,elementary,57890
Kab. Aceh Tamiang,high school,42746
Kab. Aceh Tamiang,junior high school,39769
Kab. Aceh Tamiang,less than elementary,12669
Kab. Aceh Tamiang,university,8867
Kab. Aceh Tengah,elementary,29434
Kab. Aceh Tengah,high school,37324
Kab. Aceh Tengah,junior high school,29733
Kab. Aceh Tengah,less than elementary,6792
Kab. Aceh Tengah,university,10999
Kab. Aceh Tenggara,elementary,26447
Kab. Aceh Tenggara,high school,36290
Kab. Aceh Tenggara,junior high school,33408
Kab. Aceh Tenggara,less than elementary,5140
Kab. Aceh Tenggara,university,7954
Kab. Aceh Timur,elementary,99061
Kab. Aceh Timur,high school,41588
Kab. Aceh Timur,junior high school,63259
Kab. Aceh Timur,less than elementary,12989
Kab. Aceh Timur,university,8682
Kab. Aceh Utara,elementary,126587
Kab. Aceh Utara,high school,79036
Kab. Aceh Utara,junior high school,94059
Kab. Aceh Utara,less than elementary,21108
Kab. Aceh Utara,university,17260
Kab. Agam,elementary,96418
Kab. Agam,high school,76521
Kab. Agam,junior high school,71403
Kab. Agam,less than elementary,35895
Kab. Agam,university,22609
Kab. Alor,elementary,47797
Kab. Alor,high school,19329
Kab. Alor,junior high school,21466
Kab. Alor,less than elementary,15263
Kab. Alor,university,5913
Kab. Asahan,elementary,157643
Kab. Asahan,high school,116693
Kab. Asahan,junior high school,114548
Kab. Asahan,less than elementary,29108
Kab. Asahan,university,18607
Kab. Asmat,elementary,11529
Kab. Asmat,high school,3390
Kab. Asmat,junior high school,3925
Kab. Asmat,less than elementary,9699
Kab. Asmat,university,1156
Kab. Badung,elementary,84459
Kab. Badung,high school,161860
Kab. Badung,junior high school,69893
Kab. Badung,less than elementary,13167
Kab. Badung,university,47451
Kab. Balangan,elementary,30828
Kab. Balangan,high school,10473
Kab. Balangan,junior high school,15024
Kab. Balangan,less than elementary,11919
Kab. Balangan,university,3513
Kab. Bandung,elementary,844847
Kab. Bandung,high school,532506
Kab. Bandung,junior high school,556021
Kab. Bandung,less than elementary,89820
Kab. Bandung,university,134266
Kab. Bandung Barat,elementary,500453
Kab. Bandung Barat,high school,192280
Kab. Bandung Barat,junior high school,224412
Kab. Bandung Barat,less than elementary,51504
Kab. Bandung Barat,university,49631
Kab. Banggai,elementary,89145
Kab. Banggai,high school,44661
Kab. Banggai,junior high school,45134
Kab. Banggai,less than elementary,20578
Kab. Banggai,university,11849
Kab. Banggai Kepulauan,elementary,55731
Kab. Banggai Kepulauan,high school,16327
Kab. Banggai Kepulauan,junior high school,20135
Kab. Banggai Kepulauan,less than elementary,7413
Kab. Banggai Kepulauan,university,5349
Kab. Bangka,elementary,70754
Kab. Bangka,high school,46996
Kab. Bangka,junior high school,38744
Kab. Bangka,less than elementary,21918
Kab. Bangka,university,9953
Kab. Bangka Barat,elementary,48106
Kab. Bangka Barat,high school,21159
Kab. Bangka Barat,junior high school,20574
Kab. Bangka Barat,less than elementary,13574
Kab. Bangka Barat,university,4667
Kab. Bangka Selatan,elementary,48186
Kab. Bangka Selatan,high school,12744
Kab. Bangka Selatan,junior high school,15865
Kab. Bangka Selatan,less than elementary,26564
Kab. Bangka Selatan,university,3377
Kab. Bangka Tengah,elementary,45057
Kab. Bangka Tengah,high school,19088
Kab. Bangka Tengah,junior high school,19110
Kab. Bangka Tengah,less than elementary,18961
Kab. Bangka Tengah,university,4106
Kab. Bangkalan,elementary,272757
Kab. Bangkalan,high school,60687
Kab. Bangkalan,junior high school,75475
Kab. Bangkalan,less than elementary,46867
Kab. Bangkalan,university,17471
Kab. Bangli,elementary,61399
Kab. Bangli,high school,24696
Kab. Bangli,junior high school,24156
Kab. Bangli,less than elementary,9807
Kab. Bangli,university,6894
Kab. Banjar,elementary,135531
Kab. Banjar,high school,62683
Kab. Banjar,junior high school,74173
Kab. Banjar,less than elementary,48697
Kab. Banjar,university,15570
Kab. Banjarnegara,elementary,302052
Kab. Banjarnegara,high school,64599
Kab. Banjarnegara,junior high school,109697
Kab. Banjarnegara,less than elementary,63276
Kab. Banjarnegara,university,22682
Kab. Bantaeng,elementary,27880
Kab. Bantaeng,high school,14619
Kab. Bantaeng,junior high school,13809
Kab. Bantaeng,less than elementary,12888
Kab. Bantaeng,university,5999
Kab. Bantul,elementary,154729
Kab. Bantul,high school,223031
Kab. Bantul,junior high school,139133
Kab. Bantul,less than elementary,46392
Kab. Bantul,university,72955
Kab. Banyu Asin,elementary,229858
Kab. Banyu Asin,high school,79684
Kab. Banyu Asin,junior high school,92407
Kab. Banyu Asin,less than elementary,62640
Kab. Banyu Asin,university,14432
Kab. Banyumas,elementary,451404
Kab. Banyumas,high school,212469
Kab. Banyumas,junior high school,223023
Kab. Banyumas,less than elementary,126791
Kab. Banyumas,university,61485
Kab. Banyuwangi,elementary,438399
Kab. Banyuwangi,high school,197520
Kab. Banyuwangi,junior high school,252749
Kab. Banyuwangi,less than elementary,100141
Kab. Banyuwangi,university,41648
Kab. Barito Kuala,elementary,69582
Kab. Barito Kuala,high school,29498
Kab. Barito Kuala,junior high school,41440
Kab. Barito Kuala,less than elementary,31975
Kab. Barito Kuala,university,7775
Kab. Barito Selatan,elementary,30721
Kab. Barito Selatan,high school,17806
Kab. Barito Selatan,junior high school,20579
Kab. Barito Selatan,less than elementary,8147
Kab. Barito Selatan,university,5730
Kab. Barito Timur,elementary,21906
Kab. Barito Timur,high school,16613
Kab. Barito Timur,junior high school,16224
Kab. Barito Timur,less than elementary,5724
Kab. Barito Timur,university,5229
Kab. Barito Utara,elementary,28858
Kab. Barito Utara,high school,16948
Kab. Barito Utara,junior high school,19956
